文件ID,CV质量10分，音声10分（20分）,DL号|社团|作者,FB,UC,修正分，bug过多，挤牙膏，无意义刷量强行延长游玩时间+反作弊,内容cg丰富度（15分）,创建时间,剧情有无代入感10分，实用度如何，20分好不好冲？（30分）,备注,夸克,封面,引擎,排雷 评价,搜索,攻略,更新日志,最后修改时间,游戏名大小,游戏性|玩法，好不好玩？（15分）,版本及更新时间等,画风立绘建模如何？10分。动态？10分。cg质量？10分（30分）,百度,类型,视频,评级,"评级（成品级别）评分105- X          90-100 SSS           75-85 SS             60-70 S         45-55A     25-40B ",迅雷,预览
BAYJSLG388,,,"KLW, LW, XH",https://drive.uc.cn/s/35586cf88fff4?public=1,,,2026年4月10日 01:25,,,,,,,[PC/SLG/动态/CV/NTR] 理发店 My NTR Wife 床屋さん My NTR Wife+存档 [1.2G],,"我的性伴侣是理发店老板娘。当然，是人妻。
夫人，我来了…。
因为最近没见面，想着夫人是不是也憋坏了。
怎么办？如果觉得困扰我就回去。
在上班？丈夫就在旁边？
没关系，只要不被发现就行。

★选择正确选项推进剧情的动画AVG☆
★被丈夫发现即游戏结束，将情色场景进行到最后即可通关☆
★情色场景全程丝滑AE动画☆[FHD1080p/60fps]",2026年4月12日 01:12,理发店 My NTR Wife 床屋さん My NTR Wife+存档 [1.2G],,https://pan.baidu.com/s/1uAa4fXz_T4U45M_FHVkIkg?pwd=4j9z,,https://pan.baidu.com/s/1KMJ0N-N2mtTyp2XNcMSKfw?pwd=BAYJ,"[PC/SLG/动态/CV/NTR] ",未开始,A及格，算是个游戏，好不好看个人喜好，有的人觉得是精品，有的人觉得一般。游戏荒了可以一试,,https://pan.xunlei.com/s/VOpsT8-Gf4mA5EsWAOVXJkUVA1?pwd=3keb#,https://pic.moebox.io/album/SLG388.XEBDG
BAYJSLG015 (2),,,"KLW, LW, XH",https://drive.uc.cn/s/11b1ce227c994?public=1,,,2026年4月10日 16:07,,,,"x1qzaeg1fatf.jpg, Vv07WE.png",,,【PC+安卓/SLG/动态/更新】我的反乌托邦机器人女友 factorial-omega : My Dystopian Robot Girlfriend ver0.96.7 官中步兵【1.75G】,,"新的0.96.6更新来了！
它包含身体尺寸模块和其他东西。主要新增内容包括：

胸部、臀部、大腿、小腿、脚尺寸模块（你可以购买可以调整她身材的物品）
配饰很多，还有迷你裙。
30页新故事，主要是关于Jun的生活片段。
背包界面有很大改进。
还有更多！
完整更新日志：
0.96.1:

主线：

- 新模块：

-大腿尺寸模块

- 小腿尺寸模块

- 英尺尺寸模组

- 胸部尺寸模块

- 臀部尺寸模块

- 新增自定义物品：

-椭圆形眼镜

-彩色椭圆形眼镜

-眼罩，左右眼有选项。

-光泽发夹

——舌环

-马镫长袜

-心形眼镜（旧物品换了新款，画风更好）

-彩色心眼眼镜

- 美甲套装

-足部护理套装

-皮质扣项圈

-彩色扣环

——爱心眼贴纸

——天然睫毛

-简单的项圈

-短袜

——两条条纹长袜

-膝高鞋

-带刺项圈

——头带

——迷你裙

-肚脐穿孔

-乳头穿环

- 能够在互动中抚摸胸部

- 装备界面新增页面，方便你访问滑块并启用/禁用头发。

- 改进的设备用户界面：

——分开的模块和衣服分到不同的标签页里。

-增加了更有意义的文件夹，更容易找到你要找的东西！

-新按钮“随机服装”

-新按钮“脱衣”

——把最后的“收藏夹”文件夹移了一下。

-故事：

——关于晚上吵闹的短故事。

-后期和机器人的对话更多。

小型：

-增加了复制存档文件夹安全措施。他们建议使用“提交”功能。

- 新增了从.mdrgslot文件加载槽位数据以备紧急情况的方法。

-让打扫变得宽容一些

-新增了一个开关，可以关闭显示的文字变灰。

- 标准化了物品名称中大写的使用。（英文）

- 移除了移动尾巴交互，因为它与其他交互使用起来很烦人。

- 修改合同生成代码，使得来自不那么尊重的合作伙伴合同会更频繁地出现。

——由于与胸部模块相关的变化，统一了场景间胸部的大小！

-让猫耳朵用正确的物品图标。

-稍微调整了一些价格

-把眼影槽换成了眼妆槽。这个槽位现在允许多件物品。

- 修复了互动场景中旧手叠层问题

-拔出按钮现在在高潮时能用

-现在自动性交有可能在外面射精，而不是总是在里面射精

——稍微整理了互动场景的界面，并新增了一个“缩放”选项，让你能更接近她。

-让是/否、好的等弹窗看起来更美观，大小也不同，取决于文本内容。

-又加了4个存档文件夹。

-性爱后的转变变得更顺利一些

- 超迷彩物品价格上涨

-在机器人射精时增加了抽搐动画

-改进了自动操功能，让其他动画更协调一些。

-更新翻译

模组改进：

-模组翻译有了很大改进。现在你可以生成并导入包含模组所有字符串的简单json文件。这对大多数模组都适用。使用自定义字符串来显示弹窗的模组需要更新。

- 新增了搜索栏和在模组弹窗中更便捷地重新排序模组的方法。

- 模组现在会存储更多信息：他们的版本和原始语言。

- 更好的界面，清晰显示模组状态

- 移除了模组顺序界面

-修复了CuteBow的问题。可绘制的画面不一致，口交场景中重复出现。

模组破坏性变更：

- 口交场景绘制“BellChoker”，改名为“BellChokerMain”（以配合其他场景）

修复错误：

- 修复了一个bug，使得在颜色选择器的十六进制码输入区设置带有alpha的颜色成为可能。

- 修正了高级模组创建器中的“验证所选物品纹理”功能。

-修正了腮红层次不均匀。口交时和其他场景不一样。

——修复了一个导致字母排序失效的bug。

- 修复了一个导致互动场景中胸部物理对精液不起作用的bug。

-修复了一个bug，如果你在加载过程中关闭游戏，可能会清除你的存档。

——修正了一堆拼写错误

-修复了一个在狗狗式拉头发时出现秃斑的问题

-修复了狗狗造型中禁用安娜莉前额头发时会出现的秃斑，也修正了那个发型的一些问题。

——修复了口交场景中巫师帽的层叠问题

-修复了狗狗场景的问题：

-机器人身体固定移动

——固定腮红和心形眼睛都没出现

- 修复了一个会导致自定义人格模块分支变形时游戏冻结的bug。

- 修复了一个导致悬浮故事文本有时会瞬间出现，而不是逐字母正确显示的bug。

-修正故事与卡拉OK的不一致

- 梅丽莎和投球之间被修正了故事不一致



0.96.2

修复错误：

-修复了一个只会导致一个身体大小模块正常工作的漏洞。

——修正了几个拼写错误





0.96.3

调整：

-改进了Anon的手部：

-牛仔女：

-胸部大小不同，胸部会挤压。

-传教士：

-左腿腿抓，大腿。

——各种胸型的胸部都能更好地附着。

——长右袜子修补了洞。

-狗狗：

-裙子和大腿尺寸模块不正常工作。

-狗狗摸胸不贴合所有胸部大小。



修复错误：

-修复了一个导致左乳头在传教士场景中不带来快感的漏洞。



0.96.4

小型：

-更新本地化。

修复错误：

-修复了房东音乐在几个新事件中不会停止的bug。

- 修复了一个导致烹饪和玩卡小游戏过早出现的bug。

- 修复了一个导致早期性爱按钮不出现的bug。

-修复了一个导致新物品无法本地化的bug。

- 修复了一个bug，如果你在靠近她时关闭拥抱场景，工具选择器会消失（可能在其他场景中也会）

——很可能修复了赌场游戏中导致翻牌的bug。
",2026年7月12日 16:21,我的反乌托邦机器人女友 factorial-omega : My Dystopian Robot Girlfriend ver0.96.7 官中步兵【1.75G】,,,,https://pan.baidu.com/s/1-Hw2UHZxT_MfsSKZxAkuAA?pwd=3d5q,【PC+安卓/SLG/动态/更新】,未开始,,S(SS),https://pan.xunlei.com/s/VOpqlUAyEHnRyf-WirAKgLhTA1?pwd=cr3c#,https://pic.moebox.io/album/SLG015.XYXHD
BAYJSLG391,,,"KLW, LW, XH",https://drive.uc.cn/s/8710efa134d14?public=1,,,2026年4月10日 16:42,,,,,,,【RPG/PC/动态/调教】遗憾岛 Regret Island V0.2.52 AI汉化步兵版 【1.5G】,,"概述：
《遗憾岛》是一款非线性恐怖RPG无尽游戏，带有约会模拟和视觉小说元素。
它提供了多种途径和不同的方法来解决问题。
角色可以永久死亡或陷入疯狂。
玩家必须管理自己和他人的欲望和疯狂关卡。
剧情：一家人和朋友踏上了海外旅行，决定在一座看似荒凉的岛屿上停留一天。
随着隐藏的情绪开始浮出水面，他们愉快的旅行发生了黑暗的转折。你
能在人性的险恶水域中航行并毫发无伤地逃离岛屿吗？

v0.2.51.0
– 新增场景：“Linda 和 Leroy netorare （2）”

v0.2.50.0
– 新增场景：“Kate 向 Linda 介绍狗狗性爱”

v0.2.49.0
– 新增场景（48 张图片）- Chris 吮吸 Amy 的胸部 + Linda 的口交

v0.2.48.0
– 新增场景 – Linda 发现 Chris 摸 Amy

v0.2.47.0
– 新增场景 – Linda 的夜间探访（1）
– 新增 Linda 作为可操作角色

v0.2.46.0
– 新增动画场景“Kate给Leroy口交”
– 修正了一个bug：视频不再冻结。

v0.2.45.0
– 新增场景 – “Chris 与 Kate 不戴套做爱”",2026年4月14日 00:51,遗憾岛 Regret Island V0.2.52 AI汉化步兵版 【1.5G】,,https://pan.baidu.com/s/19iDE8QvFF0Q007VAaMG7LQ?pwd=9tqi,,https://pan.baidu.com/s/16xwLaGgHHedWmCRbYW8ymQ?pwd=BAYJ,【RPG/PC/动态/调教】,未开始,,,https://pan.xunlei.com/s/VOq5LDoMFgOhjzMGexdG0elzA1?pwd=fc3m#,https://pic.moebox.io/album/SLG391.XFYxP
BAYJSLG306 (1),,,"KLW, XH",https://drive.uc.cn/s/38fffd3fbb764?public=1,,,2026年4月10日 18:23,,,,,,,[PC+安卓/沙盒SLG/同人/猎奇]我的世界H版/我的湿界 HornyCraft Ver0.31精翻汉化版+全画廊[6G],,"感谢“viroz”大佬汉化

更新 0.31
史莱姆：
新增场景《特殊装置》
新增场景《一、二……三！》

僵尸：
新增选项《要求：足交》 [违规词]

掠夺者：
新增场景《逃脱》
新增场景《感恩》
新增场景《反抗》
新增角色——唤魔者！
（她包含在掠夺者的场景中）

亚历克斯：
新增场景《耐久测试》
新增场景《贪心没好报》

狼：
新增场景《偷窥者》
新增场景《援助之爪》

其他：
Bug修复
移除了Herobrine
应用图标已更换",2026年5月7日 03:28,我的世界H版/我的湿界 HornyCraft Ver0.31精翻汉化版+全画廊[6G],,,,https://pan.baidu.com/s/12FoDB-Py_NPttPwOubDwLw?pwd=BAYJ,[PC+安卓/沙盒SLG/同人/猎奇],未开始,,,https://pan.xunlei.com/s/VOkj392zSqAf_m1pxIFTT5oeA1?pwd=z4bs#,https://pic.moebox.io/album/SLG306.XkF1r
BAYJSLG390,,,"KLW, LW, XH",https://drive.uc.cn/s/f631f94a9faa4?public=1,,,2026年4月10日 22:07,,,,,,视觉小说,[PC/HTML/真人/更新]性感的秘密 Sultry Secrets v2.2 浏览器汉化 [1G],,"艾米丽和父亲一起生活。一天，她在打扫房子时，发现了母亲的旧日记。翻阅日记，她得知母亲曾去葡萄牙寻宝。为了揭开母亲过去的秘密，艾米丽也踏上了同样的旅程。然而，通往宝藏的道路充满挑战——她必须完成各种任务，解答复杂的谜题，才能最终找到宝藏。

",2026年4月12日 03:28,性感的秘密 Sultry Secrets v2.2 浏览器汉化 [1G],,https://pan.baidu.com/s/1cvALbQfL2p8wuWnt0ZQsuA?pwd=7cbm,,https://pan.baidu.com/s/1aO_ScreOU3eVsKrkNAM7kA?pwd=BAYJ,[PC/HTML/真人/更新],未开始,,,https://pan.xunlei.com/s/VOpxJFiYgJguClSTUEPAfTaTA1?pwd=2myj#,https://pic.moebox.io/album/SLG390.XElTO
BAYJRPG229,10,,"KLW, LW, XH",https://drive.uc.cn/s/b8be08ba5ebf4?public=1,,15 门后还有,2026年4月11日 18:48,20,,,,,,[PC+安卓joi/热门新作RPG/动态/像素]恶梦屋敷・无限牢狱 悪夢屋敷・無限牢獄 官方中文版+存档 [1.1G],,"游戏简介：

再度前往那座宅邸
剧情概要
你听说过吗？“噩梦”的都市传说。那些夜里入睡后陷入昏睡状态的女性，所有检查结果都正常，却始终无法醒来。据说那些女性正在经历噩梦——
主人公黑木佐奈与挚友宇治宫朋某日遭受噩梦侵袭，回过神来已置身于一个陌生的地方。
而她们尚未知晓，自己此刻正处于无处可逃的绝望牢狱之中……

推荐给以下人群
·喜欢被怪物袭击的女孩子
·喜欢恐怖但受不了血腥猎奇
·喜欢坏结局
·想一次性享受多种情境

关于本作
·情色场景（基础大尺寸像素图183张基础小尺寸像素图23×7种所有情色场景均为像素动画！）
异种交、精神操控、强○、常识变换、石化、封印、触手、百合、恶堕……等
·通关后设有回想模式。

·本作是噩梦系列第一作《噩梦宅邸》的重制版。不了解该系列的玩家也可安心游玩。
·本作所有要素均得到强化，无需游玩原版《噩梦宅邸》。
·本作是以探索为主的游戏。不存在战斗或等级等要素。
·本作含有恐怖元素。
·正式版内容量为体验版的7倍。
·
·
·购买正式版前请务必通过体验版确认运行状况。

内容大幅强化！！！
开发历时约三年！全力以赴！！全力以赴！！要重制就要全力以赴！！超越当年的自己！！！

多语言支持！！！

不懂日语也无妨！！除日语外还翻译成了三种语言！！一起在噩梦的世界中冒险吧！！！",2026年4月14日 03:14,恶梦屋敷・无限牢狱 悪夢屋敷・無限牢獄 官方中文版+存档 [1.1G],10,https://pan.baidu.com/s/19kXLYk2qAg5SIF4xabTAdA?pwd=jptg,15,https://pan.baidu.com/s/1G8Fe7gazwGT1EFq0HCXEFA?pwd=BAYJ,[PC+安卓joi/热门新作RPG/动态/像素],未开始,S总体中规中矩，在某方面能达到精品甚至神作，值得一试,S 70,https://pan.xunlei.com/s/VOpxVrrON6sUNQ-50RSzij61A1?pwd=cefe#,https://pic.moebox.io/album/RPG229.XEScD
BAYJSLG392,,,"KLW, LW, XH",https://drive.uc.cn/s/9d6f5ab3398c4?public=1,,,2026年4月11日 18:49,,安卓是0.90,,,,,【PC+安卓/SLG/动态/更新】涟漪 Ripples v0.9.1 官中+全CG【16G】,,"更新日志：

1,585张新图片

191个新动画

6 新画廊场景

70+首新曲

120+ 新音效

5 个新的隐藏渲染图

新花絮画廊（委托等），10个动画，35个渲染图

多个渲染修复

若干代码修复

修正了很多拼写错误

还有其他一些小事

新增中文翻译

编辑：
v0.9.1 更新日志
修正了ep8的bug

概述：
Ripples 是一部科幻视觉小说，围绕着一名 18 岁的高中最后一年少年展开。他与他的好朋友达西重逢，像往常一样出发去上学，但随着时间的推移，他得知了有关他已故父亲的新信息，这让他对自己死亡的真相产生了质疑。",2026年4月14日 01:25,涟漪 Ripples v0.9.1 官中+全CG【16G】,,https://pan.baidu.com/s/1-KghbEGXb_DavU-atWPayQ?pwd=i38m,,https://pan.baidu.com/s/1_z-pAokLpKzYy2hdmLrxhg?pwd=BAYJ,【PC+安卓/SLG/动态/更新】,未开始,,,https://pan.xunlei.com/s/VOq26YaLO5SUxjuPvs67mcJXA1?pwd=ef5x#,https://pic.moebox.io/album/SLG392.XF2Lk
BAYJSLG393,,,"KLW, LW, XH",https://drive.uc.cn/s/25cff93dead84?public=1,,,2026年4月12日 03:44,,,,,,,[PC/热门SLG/动态/更新]别让魔女住进这间旅馆 この宿に魔女を泊めるな v1.10 正式版+全CG[2.65G],,"▼通过涩涩的身体检查揭露真相，狼人杀类模拟游戏！

・对住宿的客人进行身体检查，揪出化身为人的魔女！
・可发展亲密关系的女性角色共计21人！不仅外貌和性格各异，身体特征（如凹陷乳头、长乳、大乳晕等）也各有不同！
・亲密场景总计84个，总HCG数量超过330张，系列史上最大规模！！（部分角色一个场景中包含多种体位！）
・实装了插图动态化、文本回溯跳转、作弊模式等史上最丰富的便利功能！

▼简易剧情

・全国范围内接连发生神秘的神隐事件。其真相是魔女化身为人类，在夜晚猎杀猎物。
・你作为旅店主人，需要揭露潜伏在客人中的魔女，死守旅店！

■游戏类型
狼人杀类涩涩检查模拟游戏

■CG・亲密场景内容
・基本CG数量：90张以上
・总CG数量：337张以上（不含立绘等）
・画面尺寸：1280×720、1600×900、1920×1080
・语音：亲密场景附带语音
・可发展亲密关系的女性角色：21名

■预计完成所有亲密场景的游玩时间
10小时以上
（※游戏本身每轮约1-2小时。是以多轮游玩为前提的游戏。）

■便利系统

●插图动态化功能：
亲密场景中，让插图更具临场感的功能！

●整段剧情跳过功能：
长按取消键，可随时跳过整段剧情。

●文本功能：
实装了多种文本跳过和自动模式（速度可调）、
快速存档/读取、文本回溯、文本回溯跳转、射精倒计时、
窗口临时隐藏等。

●未确认检查事件显示：
尚未查看的检查事件一目了然。

●亲密事件回想模式：
可随时回看已观看的亲密场景和CG。
也可解锁所有未观看的事件。

●作弊模式：
为嫌麻烦的玩家准备了以下功能：
・无限次检查功能
・让所有访客都入住的功能
・切换人类/魔女身份的功能

●配置功能：
可设置游戏手柄（控制器）・键盘按键、
音量调整、文本速度等细节。

●截图功能：
可随时轻松拍摄并保存游戏中的决定性瞬间或心仪场景。

●紧急隐藏功能（家长来了模式）：
只需按一下特定按键，即可瞬间隐藏游戏画面。",2026年4月16日 02:40,别让魔女住进这间旅馆 この宿に魔女を泊めるな v1.10 正式版+全CG[2.65G],,https://pan.baidu.com/s/17KK9v1I8_Y701mFlAbhLuA?pwd=7f6n,,https://pan.baidu.com/s/1_S1-oqYDcSU6KPh220cp6g?pwd=bayj,[PC/热门SLG/动态/更新],未开始,,,https://pan.xunlei.com/s/VOqC5eHlz6e7mb93EGj6BepQA1?pwd=djc7#,https://pic.moebox.io/album/SLG393.XFgzD
BAYJSLG014 (2),,ITCH,"KLW, LW, XH",https://drive.uc.cn/s/f8071c504aab4?public=1,,,2026年4月12日 14:59,,赞助码：ntr322,,,,自牛模拟器,【PC+安卓/SLG/NTR/更新】NTR手机 NTR phone v0.39.20官中步兵+赞助码[500M],,"大家好！
我们的Cosplay女友Mabel来了，要吸引更多粉丝！ 😳
你会向她透露你的秘密NTR癖好，还是要成为那个阿尔法男！今天就去发现吧！ 😤
...
那么，0.39.0更新有什么新内容？
• 所有分支的延续
    ◦ 新增9000字（1200条新消息）
    ◦ 13张新图片
    ◦ 2条新语音留言
• 社区新增了最新的翻译改进
更改/修复
• 设置应用中自定义背景图片的水平偏移和主屏幕一样
• 已删除窗标题“NTR Phone”的翻译
• 已解决安卓部分设备无法加载备份的问题
• 现有章节中的小对话修正
明天又会有投票，希望Amber赢！ 👀
一如既往地感谢大家的支持！ ❤
## [0.39.20] - 2026-04-12
### 已修复
- 在游戏开始时添加了自动图库图像去重（保留最早版本）
- 修正了Rachel 第四章变体4/9导致游戏冻结
- 修复了小的对话漏洞
- 修正中文翻译，错误地将翻译分配给错误的句子
- 我们已经采取措施防止未来发生！
- 在大多数地区修正了部分翻译
- 文本中固定的动态变量有时被错误翻译，修正现有有问题的翻译",2026年4月15日 02:08,NTR手机 NTR phone v0.39.20官中步兵+赞助码[500M],,https://pan.baidu.com/s/1VLFzCjId_Bp3EPJ1QwG4PA?pwd=tr2n,,https://pan.baidu.com/s/1lVGYo3jv8TBR55BClaZckg?pwd=54g2,【PC+安卓/SLG/NTR/更新】,未开始,S总体中规中矩，在某方面能达到精品甚至神作，值得一试,A(S),https://pan.xunlei.com/s/VOq5D2rQSahhd8hf0UU5nFvYA1?pwd=rymv#,https://pic.moebox.io/album/SLG014.XiwgB
BAYJSLG320(1) (1),,,"KLW, LW, XH",https://drive.uc.cn/s/a9bf462a3fe64?public=1,,,2026年4月12日 23:49,,,,,,1.0刚出优化一坨，不过现在1.4优化好多了可以玩，游戏是世界树pro版,[PC/SLG/动态/3D/更新]伪世界树的巫女～满大街随便摸&用色情陷阱捕获美少女 偽世界樹の巫女～街中おさわり放題&エロトラップでギャルゲッチュ～ Ver1.4官中+DLC全解锁 [5.3G],,"更新日志：
·v1.4更新介绍·
●在触摸过程中，穿着内裤时选择口交会出现内裤被挪动的情况，现已修正为不会发生移动。
在穿着内裤时选择插入，会有内裤轻微被拉开的设定行为，但该行为在选择口交时也会发生，因此已对此进行了修正。
●修复了在上午发生的部分事件中，帕米娜、米蕾丝以及库的部分事件结束后角色消失后的行为异常问题。
在帕米娜第4话、米蕾丝第3话以及库的全部会话事件中，角色会在演出后消失，但之后如果发生读取处理，会出现角色非预期再次出现的异常。
现已修复为帕米娜和库不会再次出现，而米蕾丝则调整为会再次出现的设定。
●调整了下午触摸中女主角在高潮后表情恢复的时机。
修复了下午触摸时语音与文本不一致的问题。
●此外，修复了一些轻微的问题。
●新增了在黑暗陷阱触发演出中，通过双击鼠标左键跳过演出的功能。
●修复了在大于 Full HD 尺寸的显示器上以「全屏」模式游玩时，切换到夜晚后运行变得卡顿的问题
在 4K 等分辨率高于 1920×1080 的显示器上，将游戏设置为「全屏」模式进行游玩时，在切换到夜晚（捉妞啦）时会出现运行速度明显变慢的问题。
现已修复上述问题。
●修复了即使与阿格蕾雅以外的角色对话，也会触发阿格蕾雅对话的问题
在阿格蕾雅好感度达到最大值的事件结束后，若与其他角色对话或尝试使用麻布袋时，会错误地播放阿格蕾雅的对话。
现已修复该问题。
●修复了通过与特定的优菲对话可反复获得 LP 的问题
在阿格蕾雅剧情进行过程中，于作为提示的与优菲的对话事件结束后，通过循环对话可多次获得 LP 的问题。
现已修复该问题。
●修复了在阿奈尔与缇缇的 H 场景中，未被选择的一方的 H 场景也会被记录到画廊中的问题
●修复并调整了部分成就的解锁条件，使其与实际游戏进度相一致
●修复了在更改「显示男性剪影」设置并保存后，读取该存档时设置无法正常生效的问题
●修复了在其他语言版本中部分文本仍显示为日文，以及文本严重超出窗口范围的问题
●新增了塔妮雅与阿格蕾雅部分事件的发生地点显示
在塔妮雅与阿格蕾雅的事件推进过程中，部分情况下角色不会显示在地图上，导致事件发生地点较难判断。
现已追加显示事件发生地点。",2026年4月14日 23:21,伪世界树的巫女～满大街随便&用陷阱捕获美少女 偽世界樹の巫女～街中おさわり放題&エロトラップでギャルゲッチュ～ Ver1.4官中+DLC全解锁 [5.3G],,"https://pan.baidu.com/s/16nH5m3RzW_PNRl8raftsVw?pwd=er87
更新日志
2026年02月07日 BUG修复
Ver1.2
修复部分异常
作品内容
◆3D 触摸游戏的终极版！
用魔法和陷阱来触摸吧！
前作《异世界树的巫女～用魔法的力量随心所欲地进行触摸 H～》的新作登场！
在本作中，街上所有的美少女都可以触摸！向街上的那个女孩搭话并试着触摸她吧！
触摸场景和 H 场景均为全语音！尽情享受只属于你的终极触摸体验吧！
◆系统
新系统 “美少女游戏捕捉”！用魔法网捕捉美少女，一起触摸她们！？
用黑暗陷阱进行后宫触摸！让所有人都达到巅峰的话会……！？
麻袋、陷阱、催○、时间停止等，前作中广受好评的系统也将收录其中！
◆同时发售 & 其他
购买与本作同时发售的《【触摸语音】人妻魔法巫女普里蒂♡艾丽西亚》，
游戏正篇中就会有埃尔米娜的妈妈艾丽西亚登场！当然也有 H 场景哦！
熟悉的全开放 DLC 也同时发售！
从一开始就可以随心所欲地使用魔法和陷阱！而且 H 场景也可以尽情观看！！",,https://pan.baidu.com/s/15UNbRQLIat5M8siZfl9xTw?pwd=jaat,[PC/SLG/动态/3D/更新],未开始,,,https://pan.xunlei.com/s/VOkPHJnToXN8eO9WrcVkcb_jA1?pwd=tspu#,https://pic.moebox.io/album/SLG320.XkQ5V
BAYJSLG380 (1),,,"KLW, LW, XH",https://drive.uc.cn/s/2e216a1170a14?public=1,,,2026年4月12日 23:52,,驱动妖精新作,,,,,[PC/更新/3D/全动态]池袋性爱人偶女学园 池袋セクサロイド女学園 V1.31正式版+DLC+全CG [900M],,"更新信息
2026年04月09日修改错字BUG修复内容添加
1000本達成キャンペーンに対応しました。
詳細はreadme.txtをご参照ください。
更新日志：
v1.3.1 内容追加

・修复了男性侧SFX未与音量设置关联的问题。

“极度色情100%！没有爱的性爱才是最爽的♡
Riez-ON 挑战的‘ドスケベ100%’3D同人志……在此爆诞生！

你在一家专门提供‘性爱机器人’上门服务的风俗店里，指名了蓝色头发、冷酷角色的‘露娜酱’。
在情人旅馆里尽情享受各种色情玩法吧！

深喉口交、淋浴、站立后入、足交、骑乘位……等等
能用钱买到性爱机器人给的快乐，真是太棒了！”

※ 本作品全程使用实时3D技术，需要相应的图形性能。
※ 本作品的客服仅支持日语环境与日语。",2026年5月20日 00:43,池袋XA人偶女学园 池袋セクサロイド女学園 V1.31正式版+DLC+全CG [900M],,https://pan.baidu.com/s/1ij4Pk4ScgK-IsnksCIHyXQ?pwd=2ww1,,https://pan.baidu.com/s/1ULMl0G5uexpjIbc8ajOnKw?pwd=BAYJ,[PC/更新/3D/全动态],未开始,,,https://pan.xunlei.com/s/VOq4iBq7rQRyedKCpP8mx68yA1?pwd=tatb#,https://pic.moebox.io/album/SLG380.XDbdT
BAYJSLG394,,,"KLW, LW, XH",https://drive.uc.cn/s/cd76c8c0efe24?public=1,,,2026年4月13日 17:11,,,,,,,[PC/SLG/动态/建造/更新]哥布林巢穴 Goblin Nest v1.25内嵌汉化[60M],,"·游戏介绍·
管理居民的情绪、收入与配给。
探索优化单元布局的方法，提升整体运作效率。
将你的巢穴扩建装饰成多层级的自维持工厂体系。",2026年7月12日 16:13,哥布林巢穴 Goblin Nest v1.25内嵌汉化[60M],,,,https://pan.baidu.com/s/14-7KLYd2L8VXncMSZovVDw?pwd=BAYJ,[PC/SLG/动态/建造/更新],未开始,,,https://pan.xunlei.com/s/VOqGYK3UQQrS5L_ECiTK1NHdA1?pwd=5upg#,https://pic.moebox.io/album/SLG394.XFBst
BAYJACT163 (1),,,"KLW, LW, XH",https://drive.uc.cn/s/0caa3781a91f4?public=1,,,2026年4月13日 22:34,,,,,,,[PC/ACT/动态/更新] 永恒的欠损 永恆的欠損 La Vitalis Immortal Loss v0.45.0 官中步兵版+全CG存档 [3.7G],,"v0.45.0·
新增CG“教堂之乳”
新增异常状态“手臂被束缚”
添加了束缚陷阱宝箱
添加了与手臂束缚相关的所有站立精灵变体
添加了与手臂束缚相关的所有角色动画
添加了一些与手臂束缚相关的NPC特殊对话
修复了触发Sinflower CG后角色可能出现位置错误的问题
修复了部分NPC与Vita的对话错误触发的问题
修复了在心灯处休息后冲击核心数量显示错误的问题
修复了朝圣者定居点中角色卡在某些传送点的问题
修复了短刀匪徒敌人的行动逻辑
修复了Baneberis的商店不出售Slowgrow怀孕药的错误
杂项
所谓的“安全补丁”能让玩家全面体验游戏。没有这个补丁，可能只能访问部分内容。之前支持过我的朋友们大概能理解这是什么。我不能多说，但这是保护项目免受审查的唯一办法
杂项
此次更新主要聚焦于“武装限制”游戏玩法
我们原本以为这将是一个相对低级别的设计变更。然而，尽管我们在构建框架时为这部分预留了开发空间，但实际工作量却相当繁重。为了适配“克制”状态，一些站立的精灵图也被重新绘制了
目前有两种方式可以触发武力限制状态：
在新的CG事件触发后
打开束缚陷阱箱
新的CG事件也与强盗有关。我已经对厕所CG和这个挤奶CG之间的触发条件做了一些区分
被不同的强盗抓住会触发不同的彩蛋。（高个强盗会触发新彩蛋，而矮个强盗会触发厕所彩蛋）
来自DarkMoonTranslations的备注
随着这一幕的展开，我们离匪帮剧情的高潮越来越近了！维塔能找到萨菲拉吗?

·游戏介绍·
遊戲背景是在一個受到瘟疫摧殘的國度中，身為瘟疫醫生的女主角在調查的過程中會逐漸明白世界的真相，與途中各種魔物與人類赤裸且下流的惡意。
一位迷人的年轻医学生…
一个因未知疾病而遭受破坏的金色王国…
以及可能吞噬一切的炼金术的秘密…
Vita，一位异常年轻且天赋异禀的瘟疫医生，努力寻找一种治疗她的家园被奇异感染摧毁的方法。
她一生都在严肃的研究中度过，没有时间去谈恋爱或参与轻浮的活动…但对于一个年轻、优雅的美女来说，比病毒更恶毒的怪物还有…",2026年4月17日 02:52,永恒的欠损 永恆的欠損 La Vitalis Immortal Loss v0.45.0 官中步兵版+全CG存档 [3.7G],,https://pan.baidu.com/s/1Ycvca-5btW68zJrDudxpXQ?pwd=xyem,,https://pan.baidu.com/s/1MLoIL1lkIUkSHL_RICwTcA?pwd=BAYJ,"[PC/ACT/动态/更新] ",未开始,,S,https://pan.xunlei.com/s/VOq6sWeC_r9H0b90E4fDW6CoA1?pwd=nxwg#,https://pic.moebox.io/album/ACT163.XcRWY
