文件ID,搜索,排雷 评价,备注,更新日志,预览,百度,迅雷,UC,FB,版本及更新时间等,评级,"评级（成品级别）评分105- X          90-100 SSS           75-85 SS             60-70 S         45-55A     25-40B ",剧情有无代入感10分，实用度如何，20分好不好冲？（30分）,画风立绘建模如何？10分。动态？10分。cg质量？10分（30分）,CV质量10分，音声10分（20分）,游戏性|玩法，好不好玩？（15分）,内容cg丰富度（15分）,修正分，bug过多，挤牙膏，无意义刷量强行延长游玩时间+反作弊,封面,攻略,DL号|社团|作者,最后修改时间,创建时间,视频,类型,游戏名大小
BAYJSLG184,【SLG/动态/PC+安卓/3D/汉化】我的电子羊女仆梦/My Maid Dreams of Electric Sheep V0.8.3附礼包码【4G】,,"礼包码:
+50000cr : goldendays
钱归零 : darkdays
最大幸福感 : imwell
压力为 0 : nostress
将 ako 的幸福感设置为最大值，可能为软锁 : makeherhappy
强制触发下一个主要事件，仅在软锁定时使用 : tempfix
仅限便利店购买 : shesallmine
h 场景查看器 : kamawhat
显示主要故事进展，有助于修复错误 : learndebug
血液浓度不会下降 : pureblooded
将您的公民等级设置为 A : modelcitizen
30天夜间通行证 : batman
夜间通行证不会过期 : batmanforever
纯种作弊开关 : pureblooded","更新日志
当前版本: 0.8.3 (2025/9/12)
修复了首次访问仓库活动期间图像闪烁的问题
修复了女仆的欲望事件中错误命名的变量
修复了一些对话中的拼写错误和不正确的角色名称
修复了因同时使用过多动态文本标签而导致的性能问题
修复了晨间通话事件缺少 H-SFX 的问题
修复了抽屉选择菜单中错误的返回标签，导致玩家跳回房屋选择菜单而不是抽屉选择菜单
修复了导致食物无法储存的问题
修复了与女仆一起看电影时导致加载错误文件的拼写错误 *更新游戏前，请务必备份旧的保存文件！ * *保存文件位于“AppDataRenPyElectricSheep” *游戏简介:
如果我实现了一生的梦想却感受不到幸福，那我为什么还要活着?
如果我受到不公平的待遇却感受不到愤怒，那我为什么还要坚持下去?”
在一个感情被视为恶疾的世界里，一个男人决定结束自己，
并写下了一份离奇而简单的遗愿清单。",https://pic.moebox.io/album/SLG184.XRu6T,"https://pan.baidu.com/s/1zJFRQYN4DOaqxds1BlJRcQ?pwd=BAYJ
https://pan.xunlei.com/s/VObhHPAmqy7CM99EzGiNK3nYA1?pwd=eaah 
https://drive.uc.cn/s/68d4d145c3824?public=1",1,1,,,,A,,,,,,,,,,2026年2月16日 19:32,2026年2月16日 02:23,未开始,【SLG/动态/PC+安卓/3D/汉化】,我的电子羊女仆梦/My Maid Dreams of Electric Sheep V0.8.3附礼包码【4G】
BAYJSLG183,【国产SLG/中文CV/步兵/PC+安卓】[ 不是小十七]:我的教师妈妈 上+下 官方中文步兵完结版 【2.2G】,,PS：安卓用吉里吉里模拟器运行，文件内已放吉里吉里模拟器。,"这是改编自 步非烟——【我和教师妈妈的约定】游戏以小说为原型，进行了部分改编。并且游戏配有中文CV，超级带劲！
主要讲述的是妈妈为了儿子的学习答应儿子的各种要求最后沦落为儿子的RBQ
全程步兵，告质量配音小十七大佬的作品，绝对值得一冲！注意：游戏主要以CG视频为主，播放视频的时候请不要点击屏幕，以免导致视频直接跳过。大多视频都是几分钟的长视频，自动播放完玩就行。",https://pic.moebox.io/album/SLG183.XRwnw,"https://pan.baidu.com/s/16OT29nhyP5QgzdgCTGVuDg?pwd=BAYJ
https://pan.xunlei.com/s/VOaFpToHDAYCToI7jaB6BdzjA1?pwd=hzqg
https://drive.uc.cn/s/12952259920f4?public=1",1,1,,,,A,,,,,,,,,,2026年2月16日 19:32,2026年2月16日 02:23,未开始,【国产SLG/中文CV/步兵/PC+安卓】,[ 不是小十七]:我的教师妈妈 上+下 官方中文步兵完结版 【2.2G】
BAYJSLG180,【PC/3D神作/CV/M向逆X】魔女的侵袭/女巫之下Under The Witch:Beginning V1.8 官中完结版+无码补丁+存档【8.2G】,,,,,魔女三部,1,1,,,,SS,,,,,,,,,魔女的侵袭 三部+存档 整合包(正传v1.8+库洛v0.52+黛博拉v0.2),2026年2月16日 19:32,2026年2月16日 02:23,未开始,【PC/3D神作/CV/M向逆X】,魔女的侵袭/女巫之下Under The Witch:Beginning V1.8 官中完结版+无码补丁+存档【8.2G】
BAYJSLG177,【新作SLG/像素】 哥布林的玩具箱 ゴブリンの玩具箱 正式版自带全回想解放 【370M】,很一般的动画播放器,,"作品内容
这是一款坚持采用手绘动画风格、呈现 RPG 战斗画面感的简易模拟游戏。
基本场景包括可选择指令共 32 种，全部配有动画效果。
通过超过 500 张手绘动画。




◆重要提示◆
本作品使用 UNITY 引擎制作。",,"https://pan.baidu.com/s/1wa04nBWc4HQzjB2xgRxF6Q?pwd=BAYJ
https://pan.xunlei.com/s/VO_NZET9pZvSAlZerwwOC75-A1?pwd=su53
https://drive.uc.cn/s/1b10666ce9c94?public=1",1,1,,,,B,,,,,,,,,,2026年2月16日 19:32,2026年2月16日 02:23,未开始,"【新作SLG/像素】 ",哥布林的玩具箱 ゴブリンの玩具箱 正式版自带全回想解放 【370M】
BAYJSLG176,【新作/互动SLG】 美好时光~与修女酱共度的温暖时光~ Halcyon Days ~シスターちゃんと陽だまりの日々~ AI汉化版+存档 【1.20G】,非常简单甚至潦草的游戏,,"游戏简介
你在海边昏倒后，被修女酱捡回了家。  
这款游戏是一款描绘与可爱修女酱共同生活的同居互动模拟游戏！  
与捡到你的修女酱一起生活，增进好感度，逐渐变得亲密吧！  
（游戏进程上，提升好感度并非必须。）  

     

游戏流程介绍



游戏的基本流程是：工作日白天工作到傍晚，晚上与修女酱进行交流，采用经典的系统设计。
周末无需工作，可以与修女酱悠闲地度过时光，或是一起去街上购物！  
修女酱睡着后，互动时刻开始
互动场景是通过鼠标操作的部分。  
根据触摸的部位，会播放相应的动画。  ",,"https://pan.baidu.com/s/1RN7fAZYUNtrhVCeMEbyn3g?pwd=BAYJ
https://pan.xunlei.com/s/VO_8VD0LcUpoFsiCoiR1tAawA1?pwd=3dyf
https://drive.uc.cn/s/1b418b1e72074?public=1",1,1,,,,B,,,,,,,,,,2026年2月16日 19:32,2026年2月16日 02:23,未开始,"【新作/互动SLG】 ",美好时光~与修女酱共度的温暖时光~ Halcyon Days ~シスターちゃんと陽だまりの日々~ AI汉化版+存档 【1.20G】
BAYJSLG173,【爆款SLG/动态/CV/新作】辣妹咖啡馆！？～学校附近的辣妹聚集地～ ギャルベヤ！?～学校最寄りのギャルのたまり場～ AI汉化版+全回想存档 【1.0G】,"DL9月销量最快破万的作品，相当惊人。

游戏挺简单，拉好感逐渐丰富互动。立绘和动态cg很顶，亮点是大头照。
可惜内容还是不够丰富。",,"■作品内容
本作是一款能尽情享受与女孩们互动的日常系模拟游戏。
你可以随时与来访的女孩进行亲密接触。
但如果技巧无法让她们满足，过程中可能会被强行中断……
通过打工赚钱装饰房间，周末努力学习锻炼提升自我吧。
逐步加深亲密关系后——
最终自然能体验到让彼此心满意足的亲密行为。


■剧情简介
这是一个在学校里也备受瞩目的美少女团体。
某天机缘巧合之下，她们开始频繁出入你的房间。
如今，每天都会有不同的女孩轮番来访。
放学后她们会来到你的房间，待上一段时间后又匆匆离去。
作为让她们自由使用房间的回报，你只能得到些许肢体接触。
最初，你们只是这样的关系。
但随着共度时光的累积，通过对话和接触逐渐加深了解……
最终，对你和这个房间而言——
这里成为了她们无可替代的“归宿”。
在这个房间里编织出的，特别的日常。
要不要来体验一下这样的时光呢？


■游戏特色

・无需复杂操作，仅通过选择选项即可与女孩互动
・全程鼠标一键操作，轻松游玩
・女主角台词全程语音（可按角色单独开关）
・CV声音均会随阶段产生多层次变化
・配备打工等重复演出的跳过功能及简单模式（提升游戏节奏）

■人物紹介

・川原アキ(CV:鳴森りいあ)
黒髪ロングのクールギャル。
主人公の部屋を最初に利用し始めた女の子。

・高町リホ(CV:夕霧花音)
フレンドリーで、誰にでも優しいライトギャル。
別の学年に妹がいるらしいが……。

・野崎ハヤカ(CV:桜美天花)
部活帰りに、空調の効いた主人公の部屋を利用する褐色ギャル。
汗っかきで、自分の体臭を気にしている様子だが……。

・富田ミカ(CV:道草るか)
いつも気だるいダウナーギャル。
交友関係が意外と広く、友達の悩みを聞くこともしばしばあるようで……。

・篠宮アイリ(CV:白川パコ)
友達であるアキ達に合わせて、部屋を利用するようになったツンデレギャル。
まだ一人での部屋の利用に慣れず、主人公との二人きりは少し気まずい様子。


■推荐亮点！
・适合这类玩家
喜欢辣妹！
喜欢渐进式亲密玩法！
超爱内容逐步丰富的养成型游戏！
・可能不适合这类玩家
不喜欢角色不能自由移动
想要大量小游戏
希望初次见面就能直奔主题——极度讨厌拖沓！",https://pic.moebox.io/album/SLG173.XZLJY,"https://pan.baidu.com/s/1aGsaH743I-P0Mrf4L1FCJQ?pwd=BAYJ
https://pan.xunlei.com/s/VOZZ6aoYRQfUFzVnkLIjo20jA1
提取码：9f7v
https://drive.uc.cn/s/0149e0d9d3b44?public=1",1,1,,,,S,,,,,,,,,,2026年2月16日 19:32,2026年2月16日 02:23,未开始,【爆款SLG/动态/CV/新作】,辣妹咖啡馆！？～学校附近的辣妹聚集地～ ギャルベヤ！?～学校最寄りのギャルのたまり場～ AI汉化版+全回想存档 【1.0G】
BAYJSLG171,【SLG/中文/解密/无码官中】 寻找女孩FogOne Seek Girl:Fog I 【1G】,,,,,1,,,,,,S,,,,,,,,,,2026年2月16日 19:32,2026年2月16日 02:23,未开始,"【SLG/中文/解密/无码官中】 ",寻找女孩FogOne Seek Girl:Fog I 【1GB】
BAYJSLG172,【爆款SLG/养成/动态/CV/汉化/PC+安卓】魅魔家族～被捡到的我与榨精契约～ サキュバスファミリー ～搾精契約と拾われた僕～ PC+安卓 内嵌AI汉化版+作弊码 【2.50G】,,"作弊码 : 839356 ","游戏介绍
与三位梦魔共度的软M系御姐正太同居模拟
某天突然失去父母而变得孤身一人的「我」。
将我带回家中的，正是我一直憧憬的邻居由利小姐。
但这个家庭隐藏着一个秘密——
居住在这里的一家人，竟是梦魔！
根据梦魔世界的规则，若要成为她们真正的家人，必须签订特殊的「契约」。
然而契约内容竟是！?

共同生活的女主角们
由利（CV：夕霧花音）
梦魔家族中温柔的妈妈。
性格沉稳温柔，非常喜欢照顾女儿和主人公。
但到了夜晚就会有些小坏心，喜欢用婴儿语戏弄对方，
看着对方害羞的模样取乐。
响（CV：白川帕子）
活泼开朗的辣妹长女。
虽然有时有点傻气，
但会把主人公当作亲弟弟一般疼爱，
是个非常照顾人的姐姐。
喜欢看男孩子努力的样子，
会给予大量夸奖和鼓励。
遥（CV：鸣森莉爱）
性格冷淡的次女。
热爱游戏，与姐姐相反是个宅女。
因过去的经历而习惯与他人保持距离，
但本质上是个爱撒娇的人。
喜欢欺负主人公，
看他变得不成器的样子。

采用皮影动画表现夜○场景！
一旦被费洛蒙侵袭，就会！？
可根据个人喜好自定义！
・速度调整
・部尺寸调整
・液体量调整
・动画显示切换
・第一人称/第三人称视角切换
支持多样玩法！
・部分语音对应
・回忆模式
・场景回放功能
・自动播放模式
・文本记录功能
・快速跳过功能
・隐藏界面功能",https://pic.moebox.io/album/SLG172.XZUmV,https://pan.baidu.com/s/1a3TERL7aHBlmqm4E_q-Cng?pwd=BAYJ,https://pan.xunlei.com/s/VOZPFlT26gcNN-aoDAa4rn_YA1?pwd=kacj,https://drive.uc.cn/s/7371fefad1c24?public=1,,,,S,,,,,,,,,"游戏介绍

作弊码 : 839356

与三位梦魔共度的软M系御姐正太同居模拟

某天突然失去父母而变得孤身一人的「我」。

将我带回家中的，正是我一直憧憬的邻居由利小姐。

但这个家庭隐藏着一个秘密——

居住在这里的一家人，竟是榨取人类精液的梦魔！

根据梦魔世界的规则，若要成为她们真正的家人，必须签订特殊的「契约」。

然而契约内容竟全是各种色情的要求……！?

共同生活的女主角们

由利（CV：夕霧花音）

梦魔家族中温柔的妈妈。

性格沉稳温柔，非常喜欢照顾女儿和主人公。

但到了夜晚就会有些小坏心，喜欢用婴儿语戏弄对方，

看着对方害羞的模样取乐。

共同生活的女主角们

由利（CV：夕霧花音）

梦魔家族中温柔的妈妈。

性格沉稳温柔，非常喜欢照顾女儿和主人公。

但到了夜晚就会有些小坏心，喜欢用婴儿语戏弄对方，

看着对方害羞的模样取乐。

遥（CV：鸣森莉爱）

性格冷淡的抖S次女。

热爱游戏，与姐姐相反是个宅女。

因过去的经历而习惯与他人保持距离，

但本质上是个爱撒娇的人。

H的时候也喜欢欺负身为M的主人公，

看他变得不成器的样子。

御姐正太・男性向特化的色情场景！

在触摸环节中，可与两位女主角进行3P性爱！

触摸过程中会被两人用言语轮番调戏疼爱。

搭载语气切换功能，可分别自定义每个人喜爱的责备台词！

此外还具备计数挑战・中途停止・随机中止功能，

直至精液被彻底榨干前，都会被迫承受彻底的欺负……！

采用皮影动画表现夜○场景！

一旦被费洛蒙侵袭，就会陷入只能做H之事的状态！？

丰富的色情场景

包括乳交、口交、骑乘位、逆骑乘位、侧位、后背位、站立位等

多种体位可供选择。

可根据个人喜好自定义！

・速度调整

・部尺寸调整

・液体量调整

・插入/射精动画显示切换

・第一人称/第三人称视角切换

支持多样玩法！

・部分语音对应

・回忆模式

・场景回放功能

・自动播放模式

・文本记录功能

・快速跳过功能

・隐藏界面功能",2026年2月16日 19:32,2026年2月16日 02:23,未开始,【爆款SLG/养成/动态/CV/汉化/PC+安卓】,魅魔家族～被捡到的我与ZJ契约～ サキュバスファミリー ～ZJ契約と拾われた僕～ PC+安卓 内嵌AI汉化版+作弊码 【2.50G】
BAYJSLG170,【亚洲风QSP真人动态修复版】 亚洲之子：东方之乡 SOA就是个混蛋 V70 如诗如画修复版 官方中文版+全DLC+MOD 删减报错版 【65.30G】,神作，部分删减,,,,1,1,1,,更新SLG220,,SSS,,,,,,,,,,2026年2月16日 19:32,2026年2月16日 02:23,未开始,【亚洲风QSP真人动态修复版】," 亚洲之子：东方之乡 SOA就是个混蛋 V70 如诗如画修复版 官方中文版+全DLC+MOD 删减报错版 【65.30G】"
BAYJSLG168,【新作SLG/暗示】淫眠App~用春梦让妳成为老子的女人!~ 淫眠アプリ~淫夢で俺の女になれ!~ Ver1.02 Steam官中步兵版+全回想存档 [560M],"动画还是不错的,steam正式版，立绘和cg动画很赞，可惜游戏性不足",,"梦境模拟游戏。
努力在毕业之前，成功与女主角交往吧！
在夜晚的梦境中,白天在学校时
游戏过程中，要想办法降低对方的排斥感，提高好感。
并且利用获得的点数向使徒换取力量，让攻略更顺利。
毕业之前如果无法顺利攻略，只要使徒的时光回溯力量集满就能回到过去继续挑战。
",,"https://pan.baidu.com/s/1kLfOo31TRy-gVyWZWFwc7Q?pwd=BAYJ
https://pan.xunlei.com/s/VOa5MirDvYi79mLPrNwkRa0VA1?pwd=96qx
https://drive.uc.cn/s/f844607f15b54?public=1",1,1,,,,A,,,,,,,,,,2026年2月16日 19:32,2026年2月16日 02:23,未开始,【新作SLG/暗示】,YMApp~用春梦让妳成为老子的女人!~ YMアプリ~YMで俺の女になれ!~ Ver1.02 Steam官中步兵版+全回想存档 [560M]
BAYJSLG167,【亚洲风3D/动态/M向】 魔女的侵袭：黛博拉的房间 Deborah's Room v0.3.0 官方中文步兵版+全CG存档【3G】,雌小鬼萝莉还是挺不错的，可惜还没上垒。作者说V0.3完结,,,,https://pan.baidu.com/s/1IfLDjU5sA2ZpJDXkC8604g?pwd=95gs,https://pan.xunlei.com/s/VOhH68zRLe2HG4du6c_gVoI_A1?pwd=qqvi#,https://drive.uc.cn/s/5a472a8b8bea4?public=1,,,,S,,,,,,,,,,2026年2月16日 19:32,2026年2月16日 02:23,未开始,"【亚洲风3D/动态/M向】 ",魔女的侵袭：黛博拉的房间 Deborah's Room v0.3.0 官方中文步兵版+全CG存档【3G】
BAYJSLG167,【亚洲风3D/动态/M向】 魔女的侵袭：黛博拉的房间 Deborah's Room v0.2.0 官方中文步兵版 【2.7G】,雌小鬼萝莉还是挺不错的，可惜还没上垒。作者说V0.3完结,,,,魔女三部,1,1,,,,S,,,,,,,,,,2026年2月16日 19:32,2026年2月16日 02:23,未开始,"【亚洲风3D/动态/M向】 ",魔女的侵袭：黛博拉的房间 Deborah's Room v0.2.0 官方中文步兵版 【2.7G】
BAYJSLG166,【JSK新作/SLG】退魔少女美琴 退魔少女ミコト 内嵌AI汉化版+全存档 【1.4G】,25.8.28大名鼎鼎的jsk工房新作，一如既往的风格玩法，全回想解锁,,"[游戏介绍]
「我一定会将你从妖魔手中救出！」
在回家途中，刚离开车站时，男子被“某种东西”附身了。
就在这时，一位姿态奇特的少女出现了。
她说道：“你被妖魔附身了。”
接着又说：“我会救你的。”
此刻，与狩猎妖魔的少女“命”之间的战斗，正式拉开序幕。

[作品概要]
・这是一款命令选择型战斗游戏，玩家将扮演“被妖魔附身的男子”，与狩猎妖魔的少女“命”展开战斗或亲密互动。
・战斗中会出现多个亲密场景的分支，根据推进方式的不同，共有4种不同的结局。
[特点]
・可自定义女主角对玩家角色的称呼姓名。
・战斗系统采用带主动条的命令式战斗，通过积攒行动条可施展各种技能。
・包含衣物要素。
・根据战斗内容可获得技能点数，消耗技能点可强化状态或学习各类技能。
・玩家技能包括“推倒”、“眩晕”、“挑衅诱发逆亲密攻击”等，对应多种亲密互动方式。
・战斗中包含对话环节，根据战斗和对话内容将分支至4种结局（不含坏结局）。
・每个结局均配有专属亲密场景，已解锁的场景可随时回看。
・战斗中的亲密场景加上视角差分共超过40种亲密场景。
・亲密场景中可自由调整衣物穿着",,https://pan.baidu.com/s/1OHbTlWlNmEce7l2A8CuB7g?pwd=BAYJ,https://pan.xunlei.com/s/VOZ4gle5_mEp8uSXMeWjvbLsA1?pwd=mn6m,https://drive.uc.cn/s/6335406ddec74?public=1,,,,S,,,,,,,,,"【游戏介绍】
「我一定会将你从妖魔手中救出！」
在回家途中，刚离开车站时，男子被“某种东西”附身了。
就在这时，一位姿态奇特的少女出现了。
她说道：“你被妖魔附身了。”
接着又说：“我会救你的。”
此刻，与狩猎妖魔的少女“命”之间的战斗，正式拉开序幕。

【作品概要】
・这是一款命令选择型战斗游戏，玩家将扮演“被妖魔附身的男子”，与狩猎妖魔的少女“命”展开战斗或亲密互动。
・战斗中会出现多个亲密场景的分支，根据推进方式的不同，共有4种不同的结局。

【特点】
・可自定义女主角对玩家角色的称呼姓名。
・战斗系统采用带主动条的命令式战斗，通过积攒行动条可施展各种技能。
・包含衣物破坏要素。
・根据战斗内容可获得技能点数，消耗技能点可强化状态或学习各类技能。
・玩家技能包括“推倒”、“眩晕”、“拘束”、“挑衅诱发逆亲密攻击”等，对应多种亲密互动方式。
・战斗中包含对话环节，根据战斗和对话内容将分支至4种结局（不含坏结局）。
・每个结局均配有专属亲密场景，已解锁的场景可随时回看。
・战斗中的亲密场景包含正常位、后背位、骑乘位等多种体位，加上视角差分共超过40种亲密场景。
・亲密场景中可自由调整衣物穿着，内射可随时触发，女主角的快感度也可自由调整。
・所有正式互动均为内射，且每位体位均配有独立的内射动画，杜绝“活塞动作多样但射精场景单一”的情况。
・多数亲密场景配备透明断面表现，可开启/关闭。
・内射动画支持手动模式，可重复播放特定动作。",2026年2月16日 19:32,2026年2月16日 02:23,未开始,"【JSK新作/SLG】 ",退魔少女美琴 退魔少女ミコト 内嵌AI汉化版+全存档 【1.4G】
BAYJSLG165,【日式SLG/3D/NTR/动态/新作】 和我的女朋友试着发生关系2 ～混浴温泉～ 僕の彼女とヤッてみる2 ～混浴温泉～ Ver1.01 AI汉化版带全回想 【2.10G】,,,"▼系列第二弹
本次舞台为“温泉”。
※本作与前作的角色及剧情无任何关联。
即便是首次接触的玩家，也可安心从本作开始享受。这是一款需要时刻关注时间（即使什么都不做时间也会实时流逝）、
通过点击画面内选项或指令的游戏。

指令包括对话、灌酒、使用道具等多种方式。
画面内也藏有重要道具（机关），
看准时机使用即可对女友产生影响。
若什么都不做只是发呆，
女友会直接睡觉或心情变差，瞬间导致游戏结束，请务必注意！",,https://pan.baidu.com/s/13Q5AhiAmMTu65UgiE6uJiw?pwd=BAYJ,https://pan.xunlei.com/s/VOYq5XYXCkzDGE8-3jTFgSA0A1?pwd=vx3p,https://drive.uc.cn/s/e770d31363594?public=1,,,,S,,,,,,,,,,2026年2月16日 19:32,2026年2月16日 02:23,未开始,"【日式SLG/3D/NTR/动态/新作】 ",和我的女朋友试着发生关系2 ～混浴温泉～ 僕の彼女とヤッてみる2 ～混浴温泉～ Ver1.01 AI汉化版带全回想 【2.10G】
BAYJSLG164,【日式SLG/动态/新作】 刮出吧！子宫迷宫 掻き出し！子宮ラビリンス 内嵌AI汉化版附存档 【610M】,这游戏玩法设定有点逆天,,,," https://pan.baidu.com/s/198l6blFU0kWGC_GoXMMDSw?pwd=BAYJ",https://pan.xunlei.com/s/VOYQQP_e_fv0EL_ZQdTKmzejA1?pwd=hhdj,https://drive.uc.cn/s/2e89050b76704?public=1,,,,A,,,,,,,,,,2026年2月16日 19:32,2026年2月16日 02:23,未开始,"【日式SLG/动态/新作】 ",刮出吧！子宫迷宫 掻き出し！子宮ラビリンス 内嵌AI汉化版附存档 【610M】
BAYJSLG163,【日式SLG/3D/动态/新作】 NTR偶像 - 梦之约定 NTRアイドル - 夢の約束 官中步兵版附全cg存档 【3.50G】,,更新,,,1 https://pan.baidu.com/s/1nbEO2o-Xsdfb8vYkJQVe4Q?pwd=bayj,1 https://pan.xunlei.com/s/VOYH6_eMrQ2oA6Pd_IOpqFsOA1?pwd=duwp#,1 https://drive.uc.cn/s/d3cff5332a544?public=1,,K更新2.03,,S,,,,,,,,,,2026年2月16日 19:32,2026年2月16日 02:23,未开始,"【日式SLG/3D/动态/新作】 ",NTR偶像 - 梦之约定 NTRアイドル - 夢の約束 官中步兵版附全cg存档 【3.50G】
BAYJSLG161,【爆款日式RPG/战斗H/NTR/精翻汉化】地下城与新娘（ダンジョンアンドブライド）V1.22 精翻汉化附存档整合包【2.2G】,DL8月新作，游戏性强，但不够涩，有强制牛注意,"整合了几位贴吧大佬的精翻汉化补丁，现在汉化相当完美了
附全cg存档+通关存档+分别与五位女角色结婚的存档(修改全属性max)
如果有之前的版本，直接下载补丁包覆盖即可
其实还有一些大佬做的mod，但是存在冲突报错就不放了","■卡关提示
通关北极星神庙后，将开设一家新的魔法商店用你在那里买的东西返回海鸥村
与布鲁重聚活动结束后，你将能够前往在此之前说“让我们回头”无法继续的地方。首先，从海鸥村南门返回勇敢镇，前往他在勇敢镇的藏身处
除了 Elase Magic，诺斯罗普村的魔法商店还出售一种非常重要的魔法。
水神庙水中有两根铁棍（地上一共三根）
拿到动力手环后，让我们快速游览大洞穴中的 B3
在大洞B6的宝库中，除了与恶魔的战斗之外，还有一件重要事件。
如果穆尔·穆尔复活了，他将有一段时间无法进入上帝的山，但这很正常。
如果找到神秘之眼（千里眼）的魔法，一定要购买它。它可以在多种情况下使用。
水龙庙B3的西北区域必须以某种方式浇水
要打败吸血鬼领主，你需要使用一个更重要的物品 让我们再次仔细看看城堡地图。
一旦进入亡灵沼泽，就无法出去，但有办法出去让我们彻底检查一下南方的沼泽
在酒店活动中，寻找一扇通往您无法进入的房间的隐藏门。上锁的房间可以稍后进入。 钥匙不在酒店
测试盔甲的第三个任务并不容易出来 您需要将另一件相同类型的盔甲与顶部和底部的物品掉落相匹配",,https://pan.baidu.com/s/1u-PA11CLUQqjXiHOGYevjQ?pwd=bayj,https://pan.xunlei.com/s/VOXOibH5J5aIj4JQ4ToebWfTA1提取码：prt8,,,,,S,,,,,,,,,,2026年2月16日 19:32,2026年2月16日 02:23,未开始,【爆款日式RPG/战斗H/NTR/精翻汉化】,地下城与新娘（ダンジョンアンドブライド）V1.22 精翻汉化附存档整合包【2.2G】
BAYJSLG160,【爆款日式RPG/战斗H/NTR/精翻汉化】地下城与新娘（ダンジョンアンドブライド）V1.30 精翻汉化附存档整合包【2.4G】,DL8月新作，游戏性强，但不够涩，有强制牛注意,"整合了几位贴吧大佬的精翻汉化补丁，现在汉化相当完美了
附全cg存档+通关存档+分别与五位女角色结婚的存档(修改全属性max)
如果有之前的版本，直接下载补丁包覆盖即可
其实还有一些大佬做的mod，但是存在冲突报错就不放了","■卡关提示
通关北极星神庙后，将开设一家新的魔法商店用你在那里买的东西返回海鸥村
与布鲁重聚活动结束后，你将能够前往在此之前说“让我们回头”无法继续的地方。首先，从海鸥村南门返回勇敢镇，前往他在勇敢镇的藏身处
除了 Elase Magic，诺斯罗普村的魔法商店还出售一种非常重要的魔法。
水神庙水中有两根铁棍（地上一共三根）
拿到动力手环后，让我们快速游览大洞穴中的 B3
在大洞B6的宝库中，除了与恶魔的战斗之外，还有一件重要事件。
如果穆尔·穆尔复活了，他将有一段时间无法进入上帝的山，但这很正常。
如果找到神秘之眼（千里眼）的魔法，一定要购买它。它可以在多种情况下使用。
水龙庙B3的西北区域必须以某种方式浇水
要打败吸血鬼领主，你需要使用一个更重要的物品 让我们再次仔细看看城堡地图。
一旦进入亡灵沼泽，就无法出去，但有办法出去让我们彻底检查一下南方的沼泽
在酒店活动中，寻找一扇通往您无法进入的房间的隐藏门。上锁的房间可以稍后进入。 钥匙不在酒店
测试盔甲的第三个任务并不容易出来 您需要将另一件相同类型的盔甲与顶部和底部的物品掉落相匹配",,https://pan.baidu.com/s/1u-PA11CLUQqjXiHOGYevjQ?pwd=bayj,https://pan.xunlei.com/s/VOXOibH5J5aIj4JQ4ToebWfTA1提取码：prt8,,,,,S,,,,,,,,,,2026年2月16日 19:32,2026年2月16日 02:23,未开始,【爆款日式RPG/战斗H/NTR/精翻汉化】,地下城与新娘（ダンジョンアンドブライド）V1.30 精翻汉化附存档整合包【2.4G】
BAYJSLG159,【SLG/精翻/PC+安卓】超人 Superhuman v0.9999b 画廊解锁【6G】,题材是好题材，但这画风是真难以接受,,"概述  :变形的力量，以任何你认为合适的方式改变你的身体，一种由来历不明的怪物强加给你，一个 18 岁的男孩的力量。你将如何使用这种力量？引诱？杀人？或者你只是想无忧无虑地过上大学新生的生活？
无论你选择什么，这都不是一段轻松的旅程。保护你的秘密免受周围人类的侵害。揭开其他像你一样的超人的秘密。增强你的力量来面对造就你的怪物。
你能做到吗？你能在这个可怕的世界里生存下来吗？也许……一路上享受一些爱和欲望？试一试，找出答案。
恋物癖的东西，比如陷阱、ntr 等等，都是可选的""",https://pic.moebox.io/album/SLG159.XRdV4,,1,https://drive.uc.cn/s/e49fd79b0ae34?public=1,,,,B,,,,,,,,,"概述  :
变形的力量，以任何你认为合适的方式改变你的身体，一种由来历不明的怪物强加给你，一个 18 岁的男孩的力量。
你将如何使用这种力量？引诱？杀人？或者你只是想无忧无虑地过上大学新生的生活？
无论你选择什么，这都不是一段轻松的旅程。保护你的秘密免受周围人类的侵害。揭开其他像你一样的超人的秘密。增强你的力量来面对造就你的怪物。
你能做到吗？你能在这个可怕的世界里生存下来吗？也许……一路上享受一些爱和欲望？
试一试，找出答案。
恋物癖的东西，比如陷阱、ntr 等等，都是可选的",2026年2月16日 19:32,2026年2月16日 02:23,未开始,【SLG/精翻/PC+安卓】,超人 Superhuman v0.9999b 画廊解锁【6G】
